Type;Signification;katakana;romanji;detail;exemple
Giseigo;Bois qui claque;モクモク;Moku-moku;" 黙々 (Mokumoku) : Silence et Concentration 

Lorsque モクモク est écrit avec le kanji 黙 (silence), il décrit une manière d'agir discrète, concentrée et sans un mot.

Signification : Silencieusement, tacitement, avec concentration.  
Usage : Décrit une personne qui travaille, étudie ou mange en étant absorbée par sa tâche, sans parler ni se plaindre.

モクモク (Mokumoku) : Fumée et Vapeur 

Lorsqu'il est utilisé comme un son (souvent écrit en hiragana もくもく), il décrit la manière dont la fumée ou la vapeur s'échappe et monte de manière épaisse et volumineuse.  

Signification : S'élever en nuages épais, fumer abondamment.  
Usage : Souvent utilisé dans les mangas pour représenter la fumée d'un feu, la vapeur d'une source chaude, ou les nuages qui s'amoncellent.";"彼は黙々と作業を続けた。
Il a continué le travail silencieusement/sans rien dire.

煙がモクモクと立ち上った。
La fumée s'élevait en épais nuages."
Giseigo;Métal frappé;キンキラ;Kin-kira;"Signification de キンキラ (Kinkira) Le mot キンキラ est un dérivé de l'onomatopée キラキラ (kirakira, qui signifie ""étincelant"" ou ""brillant""), auquel on ajoute le son キン (kin), qui signifie ""or"" ou ""métal"".  

1. Brilliance Éclatante (Visuel) Signification : Éclatant, étincelant, scintillant. Il est souvent utilisé pour désigner quelque chose qui brille de mille feux.  

2. Fastueux et Voyant (Connotation) Signification : Tape-à-l'œil, voyant, criard ou flamboyant (dans le sens de trop de dorures ou d'ornements).  
Nuance : Contrairement à kirakira qui est purement positif (une étoile qui brille), kinkira peut avoir une nuance négative ou comique, suggérant quelque chose d'excessivement doré, clinquant ou peu raffiné (souvent traduit par ""voyant"" ou ""bling-bling"").";"キンキラのアクセサリー。
Des bijoux tape-à-l'œil (ou très brillants).

キンキラの衣装。
Un costume flamboyant/voyant."
Giseigo;Terre qui gronde;ドンドン;Don-don;"Le Son (Bruit Fort et Répétitif) ドンドン est utilisé pour décrire un bruit d'impact fort et répétitif.  

Signification : Boum-boum, toc-toc (fort), battement, martèlement, coup de tambour.  
Usage :  Frapper fortement et répétitivement à une porte.  Le son d'un tambour ou d'un gros instrument de percussion.  Un piétinement lourd ou des pas lourds (dans les mangas).  
Référence culturelle : Il est la racine de 壁ドン (Kabe-Don), le fait de frapper fort contre un mur.

La Progression (Vitesse et Continuité) ドンドン est utilisé comme un adverbe pour exprimer qu'une action ou un changement se produit de manière rapide et continue.  

Signification : Rapidement, sans s'arrêter, progressivement (mais vite), de plus en plus.  
Nuance : Contrairement à dandan (だんだん) qui suggère un progrès lent et graduel, ドンドン met l'accent sur la vitesse et le dynamisme du changement. Il est souvent traduit par « allez-y sans hésiter » ou « sans retenue ».";"ドアをドンドン叩く。
Frapper lourdement et fort à la porte. 

ドンドン話して下さい。
Parlez sans hésiter/Parlez beaucoup ! 

物価がドンドン上がっている。
Les prix augmentent rapidement/sans cesse. "
Giseigo;Rythme cardiaque;チックチック;Chikku-chikku;"Sensation de Piqûre ou de Picotement チクチク représente la sensation d'être piqué légèrement, comme par une aiguille ou une épine.  

Signification : Picotement, démangeaison, piqûre légère et répétée, ou chatouillement désagréable.  
Usage : On l'utilise pour décrire :  Un pull en laine rugueux ou irritant.  La sensation d'un cactus ou des piquants d'un hérisson.  Une douleur légère à l'estomac ou aux yeux (ex: I have a prickling sensation in my left eye).  La sensation avant ou après une injection ou une piqûre d'insecte.";"このセーターはチクチクする。
Ce pull gratte/pique. 

胃がチクチクする。
J'ai une légère douleur piquante à l'estomac."
Giseigo;Rythme cardiaque rapide;ドキドキ;Doki-doki;"Signification de ドキドキ (Doki-doki) 

ドキドキ est l'équivalent du bruit du cœur qui bat vite ou qui palpite en français. Il exprime toujours l'idée d'une accélération du rythme cardiaque due à une émotion forte.  
Signification de base (Son) : Boum-boum, badaboum, battement rapide.

 La Nervosité ou la Peur (Négatif) 
C'est l'émotion ressentie lorsque l'on est anxieux, stressé ou effrayé.  
Traduction : Palpiter, avoir le trac, être nerveux/nerveuse.";"デートの前はいつもドキドキする
J'ai toujours le cœur qui bat la chamade avant un rendez-vous.  

発表の前はドキドキする。
 J'ai le cœur qui s'emballe avant une présentation."
Giseigo;Miam miam;モグモグ;Mogu-mogu;"Mâcher (Nourriture) 

Signification : Mâcher doucement, grignoter, ou l'équivalent affectueux de « Miam-miam » ou « Nom nom » dans le contexte du dessin.  
Nuance : Contrairement à mushamusha (むしゃむしゃ) qui exprime un mâchage bruyant et vorace, mogu-mogu est utilisé pour un mâchage plus calme ou lorsque les joues se gonflent et se contractent légèrement.

Murmurer (Parole) 

Par extension, il peut désigner le fait de parler de manière inintelligible ou à voix basse, souvent parce qu'on a de la nourriture dans la bouche.  
Signification : Marmonner, mâchonner ses mots.";"モグモグとご飯を食べる。
Mâcher doucement (sa nourriture). 

彼女は口の中でモグモグ言った。
Elle a marmonné quelque chose dans sa bouche."
Giseigo;Ding dong (signal de réponse correcte à une question);ピンポン;Pin-pon;"Onomatopée (Le Son d'une Sonnette ou d'un Carillon) 

C'est l'usage le plus courant de ピンポン comme onomatopée (giongo).  
Signification : Ding-dong, ding-ding (le son d'une sonnette de porte ou d'un carillon).  
Usage : On l'utilise pour imiter le bruit de la sonnette. Parfois, il est aussi utilisé comme nom informel pour désigner l'appareil lui-même.";"ピンポンが鳴った。
La sonnette a retenti. (Un ""ding-dong"" s'est fait entendre.) 

ピンポンダッシュ		
Sonnez et courrez (ring and run), qui désigne l'acte d'appuyer sur une sonnette et de s'enfuir immédiatement."
Giseigo;Hum (doute);フフン;Fu-fun;"Les Sens de フフン (Fufun) 

1. Mépris ou Autosatisfaction C'est l'usage le plus courant, désignant un petit bruit fait avec le nez (un reniflement) ou la gorge.  
Signification : Pffft, Hmpf, Moue de dédain, « Pooh! » (rejet).  
Contexte : Utilisé pour montrer que l'on est supérieur, que l'on se moque de quelque chose, ou que l'on vient de prouver que l'on avait raison (""Je le savais"").";"「フフン、そんな簡単な問題、私には朝飯前だよ。」 
Pff, un problème aussi facile, c'est un jeu d'enfant pour moi. » (avec une nuance de fierté/mépris)"
Giseigo;Bang;バン;Ban;" Onomatopée (Bruit d'Impact Fort) 

Écrit en katakana (バン or バーン), c'est une onomatopée (giongo) utilisée pour représenter un bruit fort et soudain.  
Signification : Bang, Boum, Clac, Poum.  
Contexte :  Le son d'une explosion ou d'un coup de feu.  Le bruit d'une porte qui claque.  Un coup ou un impact violent (par exemple, frapper une table avec la main).  
バーン (Baan) avec une voyelle longue intensifie l'impact et est souvent utilisé dans les mangas pour des scènes dramatiques ou explosives.";"**バン！**とドアを閉める。
Fermer la porte d'un coup/avec un claquement.
"
Giseigo;Boum;ブン、キュン;Bun (explosion), Kyun (cœur);ブン (Bun) ブン (Bun) est une onomatopée (giongo) qui représente le son d'un objet qui passe très rapidement dans l'air ou le bruit d'un moteur/insecte qui vrombit.;"彼の笑顔にキュンとした。
J'ai eu un coup de cœur soudain pour son sourire.
"
Giseigo;Ronron (félidé);ゴロゴロ;Goro-goro;"Sons (Bruits Graves et Roulants) Gorogoro est principalement utilisé pour les bruits de roulement ou de grondement lourds.

Être Paresseux / Se Prélasser 

C'est un usage très courant pour décrire le fait de traîner à la maison sans rien faire de productif, souvent en étant allongé sur le sol, le lit, ou le canapé.  
Signification : Faire le lézard, Buller, Traîner, Faire du farniente.

Sensation de Gêne 

Il décrit la sensation désagréable d'avoir un corps étranger qui roule ou gratte dans l'œil ou l'estomac.  
Signification : Sensation de grain de sable/gravillon (dans l'œil).

";"雷がゴロゴロ鳴っている。
Le tonnerre gronde.

今日は一日中家でゴロゴロする。
Aujourd'hui, je vais glander à la maison toute la journée.

目がゴロゴロする。
J'ai l'impression d'avoir quelque chose dans l'œil.

"
Giseigo;Tétine;チューチュー;Chū-chū;" Le Cri des Petits Animaux 

L'usage le plus courant de チューチュー est de représenter le cri d'une souris ou d'un petit oiseau.  
Signification : Couic-couic, Squeak-squeak (pour la souris), Piau-piau (pour les oisillons).  
Contexte : Souvent utilisé dans le langage enfantin ou dans les dessins animés pour identifier le bruit de la souris (nezumi).

Le Bruit de la Succion (Boire ou Embrasser) 

チューチュー décrit l'action de sucer ou d'aspirer quelque chose avec un bruit.  
Signification : Slurp, Sucer, Aspirer.  
Contexte :  Le bruit que l'on fait en buvant à l'aide d'une paille (souvent avec le verbe 吸う sū - aspirer).  
L'onomatopée チュウ (Chū) ou チュー est également l'onomatopée informelle pour un baiser (Smack ou Bisou), en particulier dans les médias destinés aux enfants ou pour un baiser rapide.";"ネズミがチューチュー鳴いている。
La souris fait « couic-couic » / piaule.

ストローでジュースをチューチュー吸う。
Boire le jus à la paille en faisant un bruit de succion. 

チューする。
Faire un bisou."
Giseigo;Hummm (girafe);キリンキリ;Kirin-kiri;"キリ (Kiri) キリ (Kiri) seul a plusieurs usages. En tant qu'onomatopée (gitaigo), il est souvent utilisé avec l'allongement de la voyelle ou un petit tsu (っ) pour intensifier une sensation :  

A. Sensation de Serrement ou de Froid Signification : Le sentiment d'être tendu, tendrement froid, ou transpercé. 
Variantes :  
キリキリ (Kiri-kiri) : Décrit une douleur vive et perçante (comme un mal de ventre) ou une tension extrême (être pressé par le temps).  
キリッ (Kiri') : Décrit un regard vif et concentré, ou une attitude nette et résolue.  

B. Mouvement et Fin 

Signification : Couper net, Terminer.  
Contexte : Souvent utilisé dans des expressions comme 切り (kiri) pour marquer une fin ou une limite.";"胃がキリキリ痛む。
J'ai une douleur vive à l'estomac.

時間がなくてキリキリする。
Je suis stressé par le manque de temps.

彼はキリッと引き締まった顔をしている。 
Il a un air vif et concentré.
"
Giseigo;Bip-bip;ピコピコ;Piko-piko;"Bruit Électronique / Numérique C'est l'usage principal de ピコピコ. Il représente les sons numériques simples et répétitifs.  

Signification : Bip-bip, Blip-blip, Bleep-bloop, ou Ping rapide.  
Contexte :  Le son d'une ancienne console de jeu (8-bit) ou d'un jeu d'arcade.  
Les musiques chiptune (souvent appelées Piko Piko Music).  
Le son d'une sonnerie d'alarme numérique ou d'un petit appareil électronique.";"ロボットの触角がピコピコ動く。	
Les antennes du robot bougent frénétiquement (bip-bip).
"
Giseigo;Tchou-tchou;シュポーッ  ビュンビュン;Shuppō, Byun-byun;"シュポーッ (Shupō) est une onomatopée (giongo) qui représente le bruit d'un dégagement de vapeur ou un mouvement brusque et net qui génère un son d'air. Le tsu (ー) final indique un son long et soutenu.

ビュンビュン (Byunbyun) est une onomatopée (giongo) qui décrit le bruit d'un objet qui siffle ou tourbillonne rapidement dans l'air.
";"ビュンビュンと風を切る。
Fendre l'air avec un sifflement."
Giseigo;Plouf;ドンブラコ;Donburako;"ドンブラコ est une onomatopée (giongo) qui décrit le son et le mouvement d'un objet lourd et volumineux flottant sur l'eau et se balançant de haut en bas au gré du courant.  

Signification : Flotter avec un lourd balancement, Se laisser bercer par l'eau (en faisant un bruit de roulis).  
Action : Le mouvement est caractérisé par un mélange de poids (ドン Don) et de balancement dans l'eau. Il est souvent répété (ドンブラコ、ドンブラコ).";"「大きな桃が、ドンブラコ、ドンブラコと流れてきました。」 
Un gros pêche arriva en flottant et se balançant lourdement sur l'eau. 

"
Gitaigo;Basculer sans arrêt entre sommeil et éveil;ウツラウツラ;Utsura-utsura;"Signification de ウツラウツラ (Utsura-utsura) 

L'onomatopée ウツラウツラ capture le moment où vous êtes à la limite entre l'éveil et le sommeil. C'est le sentiment de s'assoupir, de hocher la tête, ou d'être à moitié endormi.  
Signification : Somnoler, S'assoupir, Être à moitié endormi, Hoquetant du chef.  
Contexte : On l'utilise généralement en combinaison avec le verbe する (suru, faire/être) pour former ウツラウツラする.";"授業中にウツラウツラしてしまった。
Je me suis assoupi (j'ai somnolé) pendant le cours. 

彼は電車の揺れでウツラウツラしている。
Il est en train de s'assoupir (de somnoler) à cause du mouvement du train. 

疲れていて、ついウツラウツラしてしまう。	
Je suis fatigué et je ne peux pas m'empêcher de m'assoupir.
"
Gitaigo;Enfant qui joue;ワイワイ;Wai-wai;"Signification : Clameur joyeuse, Brouhaha animé, Vigoureusement et bruyamment, En s'amusant bruyamment.  
Contexte : Il est couramment utilisé pour décrire des enfants qui jouent bruyamment, des amis qui discutent et rient lors d'une fête, ou des personnes qui se rassemblent dans une atmosphère énergique et agréable.
";"友達とワイワイとパーティーをした。
On a fait la fête joyeusement (avec beaucoup de bruit) entre amis.

たまにはみんなで集まってワイワイやるのもいいね。
C'est bien de se réunir de temps en temps et de s'amuser bruyamment. 

公園から子供たちのワイワイという声が聞こえる。
On entend la clameur joyeuse des enfants depuis le parc. 
"
Gitaigo;Être négligent ou distrait;ウカウカ;Uka-uka;"Signification de ウカウカ (Ukauka) 

ウカウカ (Ukauka) décrit l'état d'une personne qui manque de vigilance ou de sérieux et se permet d'être distraite ou négligente, souvent lorsqu'elle devrait être prudente ou active. 
 Signification : Être insouciant, Être négligent, Manquer de vigilance, Se laisser aller. 
 Contexte : On l'utilise généralement avec le verbe する (suru, faire/être) pour former ウカウカする. Il est souvent utilisé à la forme négative (ウカウカしてられない - Ukauka shite rare nai) pour exprimer qu'on ne peut pas se permettre d'être insouciant.";"試験前だから、ウカウカしていられない。
Puisque c'est avant l'examen, je ne peux pas me permettre d'être négligent. (Je dois étudier !) 

同僚が成績を上げているから、私もウカウカしてられない。
Comme mes collègues améliorent leurs résultats, je ne peux pas baisser ma garde. 

ウカウカしていたせいで、電車に乗り遅れた。 
J'ai manqué le train parce que j'étais négligent/distrait.
"
Gitaigo;Flirter devant d'autres personnes sans se soucier de leur présence;イチャイチャ;Icha-icha;"いちゃいちゃ (Icha-icha) décrit l'état d'un couple qui se livre à des gestes tendres ou affectueux en public d'une manière qui peut être considérée comme trop démonstrative ou excessivement ""collante"" par les autres.  

Signification : Roucouler, Se faire des mamours, Être ""love-dovey"", Flirter de manière trop publique.  
Contexte : On l'utilise presque toujours avec le verbe する (suru, faire/être) pour former いちゃいちゃする (se faire des mamours/roucouler).";"公園でカップルがいちゃいちゃしていた。
Un couple était en train de se faire des mamours dans le parc.

「もう、人前でいちゃいちゃしないで！」
« Arrêtez de vous faire des mamours en public ! »

彼らはいつもいちゃいちゃしているね。
Ils sont toujours en train de roucouler, n'est-ce pas ?
"
Gitaigo;Sauter;ウハウハ;Uha-uha;"ウハウハ (Uhauha) décrit l'état d'être follement heureux et euphorique, souvent avec l'implication d'avoir fait une bonne affaire ou d'avoir reçu un avantage inattendu.  

Signification : Extasié, Aux anges, Gagner gros, Être comblé de bonheur (souvent avec une nuance d'argent).  
Contexte : On l'utilise généralement avec le verbe する (suru, faire/être) ou pour décrire l'humeur d'une personne qui sourit de toutes ses dents à cause de sa bonne fortune.";"宝くじに当たってウハウハだ。 
J'ai gagné à la loterie et je suis aux anges ! (ou : Je nage dans le bonheur !)

株で儲けて、今はウハウハしている。
J'ai fait de l'argent avec mes actions et je suis en pleine euphorie.

あのプロジェクトが成功すれば、みんなウハウハになるだろう。
Si ce projet réussit, tout le monde va être super content (et avantagé).
"
Gitaigo;Se sentir incommodé;オドオド;Odo-odo;" オドオド (Odoodo) est une onomatopée japonaise (gitaigo) qui décrit l'état d'une personne nerveuse ou intimidée. 

Signification de オドオド (Odoodo) オドオド (Odoodo) exprime le comportement d'une personne qui manque d'assurance, d'aplomb, et qui semble hésiter ou être mal à l'aise dans une situation. 

Signification : Hésitant, Timide, Nerveux, Intimidé, Embarrassé. 
Action : Le mot suggère souvent des gestes tremblants, une posture recroquevillée, un regard fuyant, ou un bégaiement.  
Contexte : Il est couramment utilisé avec le verbe する (suru, faire/être) pour former オドオドする (être nerveux/hésiter) ou l'adverbe オドオドと (odoodo to, timidement).";"彼女は人前でいつもオドオドしてしまう。 
Elle est toujours nerveuse/timide devant les autres.

怒られるのが怖くて、オドオドと接してしまう。
J'ai peur de me faire gronder, alors je me comporte timidement (en hésitant).

オドオドしないで、はっきり言いなさい。
Ne sois pas si hésitant/nerveux, dis-le clairement.

"
Gitaigo;Somnoler;ウトウト;Uto-uto;"ウトウト (Utouto) exprime l'état d'être somnolent et de hocher la tête sans être complètement endormi. C'est l'état de la sieste légère ou de l'assoupissement momentané.  

Signification : Somnoler, S'assoupir, Hoquetant du chef, Être dans un état de demi-sommeil.  
Contexte : Il est le plus souvent utilisé avec le verbe する (suru, faire/être) pour former ウトウトする (somnoler).";"電車の中でウトウトして、駅を寝過ごした。
J'ai somnolé (m'assoupissait) dans le train et j'ai dépassé ma station.

日向ぼっこをしていると、ウトウトしてしまう。
Quand je me prélasse au soleil, je finis par somnoler.

授業中、眠くてついにウトウトしてしまった。
 J'étais si fatigué pendant le cours que j'ai fini par m'assoupir.
"
Gitaigo;Manger;ムシャムシャ;Musha-musha;"ムシャムシャ (Musha-musha) est le son de quelqu'un qui mâche de la nourriture, souvent rapidement et avec un bruit de froissement ou de croquement.  

Signification : Manger bruyamment, Mâchonner, Croquer bruyamment, Dévorer.  
Contexte : Il s'applique particulièrement bien aux aliments qui craquent ou aux aliments que l'on mange de manière rapide et peu élégante (un peu comme l'anglais ""munching""). Il est souvent utilisé avec le verbe 食べる (taberu, manger) ou する (suru, faire/être).";"お腹が空いて、サンドイッチをムシャムシャ食べた。
J'avais faim, alors j'ai dévoré (mâchonné) le sandwich bruyamment.

彼はポテトチップスをムシャムシャと食べている。
Il est en train de croquer bruyamment (mâchonner) des croustilles.

ウサギが草をムシャムシャ食べていた。
Le lapin était en train de mâchonner bruyamment l'herbe.
"
Gitaigo;Mastiquer;ガブガブ;Gabu-gabu;"ガブガブ (Gabugabu) imite le son et l'action de boire de grandes quantités de liquide rapidement et bruyamment, comme quelqu'un de très assoiffé ou qui a soif.  

Signification : Goulûment, Boire à grandes gorgées, Siffler (une boisson). 
Contexte : Il est utilisé pour exprimer la consommation vigoureuse de boissons, souvent après un effort physique ou lorsque l'on a très soif. On l'utilise généralement avec le verbe 飲む (nomu, boire) pour former ガブガブ飲む.";"運動の後、水をガブガブ飲んだ。
Après l'exercice, j'ai bu de l'eau à grandes gorgées (j'ai sifflé l'eau). 

喉がカラカラで、ビールをガブガブと飲んだ。
J'avais la gorge sèche, alors j'ai bu la bière goulûment.

"
Gitaigo;Tourner en rond;イソイソ;Iso-iso;"イソイソ (Isoiso) décrit l'état d'une personne qui est joyeuse, légère et qui se dépêche de faire quelque chose par enthousiasme ou anticipation. Ce n'est pas une hâte paniquée, mais plutôt un mouvement vif motivé par un sentiment agréable.  

Signification : Gaiment, Vivement, Légèrement, D'un air enjoué et pressé.  
Contexte : On l'utilise généralement avec le verbe する (suru, faire/être) pour former イソイソする ou l'adverbe イソイソと (isoiso to, d'un air enjoué). Il décrit souvent l'action de quitter un lieu ou de se préparer pour quelque chose.";"彼女はデートのためにイソイソと準備している
Elle se prépare gaiment (avec entrain) pour son rendez-vous.

彼は友達に会うためにイソイソと出掛けていった。
Il est parti vivement (avec joie) pour retrouver ses amis.

イソイソした気分で家に向かった。 
Je suis rentré chez moi avec un sentiment de légèreté et d'excitation.
"
Gitaigo;Être à l'aise;ノビノビ;Nobi-nobi;"ノビノビ (Nobinobi) vient du verbe 伸びる (nobiru), qui signifie ""s'étirer"" ou ""se prolonger"". En tant qu'onomatopée, il décrit le sentiment d'être complètement à l'aise, sans stress ni contraintes, comme si l'on pouvait s'étirer et se détendre sans limite.  

Signification : À l'aise, Détendu, Sans contrainte, Librement, Serein.  
Contexte : Il est souvent utilisé pour décrire l'ambiance d'un lieu (spacieux, relaxant) ou le développement et la croissance (d'un enfant, d'un talent) sans pression. On l'utilise le plus souvent avec le verbe する (suru, faire/être) pour former ノビノビする.";"休暇でノビノビ過ごしている。
Je passe mes vacances en toute décontraction (à mon aise).

田舎の家で子供をノビノビと育てたい。
Je veux élever mes enfants librement (sans contraintes) à la campagne. 

この職場ではノビノビと仕事ができる。 
Je peux travailler à mon aise (librement) dans ce lieu de travail."
Gitaigo;Être tendre et moelleux;フワフワ;Fuwa-fuwa;"フワフワ (Fuwafuwa) a deux significations principales :  Texture : Il décrit quelque chose de très doux, spongieux, léger et gonflé au toucher, comme un nuage ou un gâteau aéré.  Mouvement : Il décrit un mouvement léger, flottant ou aérien, comme quelque chose qui flotte doucement dans l'air ou à la surface de l'eau.  

Signification : Moelleux, Flou, Doux comme du coton, Aérien, Flottant légèrement.  
Contexte : On l'utilise souvent avec la particule と (to) pour décrire une action
 (フワフワと浮く - fuwafuwa to uku, flotter légèrement) ou comme un adjectif pour décrire un objet (フワフワのパン - fuwafuwa no pan, pain moelleux).";"このスポンジケーキはフワフワだね。
Ce gâteau éponge est si moelleux !

子犬の毛はフワフワしていて可愛い。
La fourrure du chiot est duveteuse et mignonne.

青空に雲がフワフワと浮いている。
Des nuages légers flottent doucement dans le ciel bleu."
Gitaigo;Gargouiller;ペコペコ;Peko-peko;"La faim intense (Le plus commun) C'est l'onomatopée la plus courante pour exprimer une faim extrême ou le gargouillement de l'estomac. Le son ""peko"" suggère l'estomac qui se creuse ou se dégonfle (comme une bosse ou une dépression).  

Signification : Affamé, Avoir le ventre qui gargouille, Mourir de faim.  
Expression typique : お腹がぺこぺこ (Onaka ga pekopeko - Mon ventre est pekopeko / J'ai très faim).  

L'action de s'incliner excessivement Il décrit l'action de s'incliner (faire l'ojigi) de manière répétée et excessive. Dans ce contexte, il a une connotation négative de servilité ou de flagornerie, suggérant que l'on s'incline trop bas ou trop souvent pour plaire à quelqu'un.  

Signification : Faire des courbettes, S'incliner servilement, Être obséquieux.";"もう、ぺこぺこだよ！
J'ai très, très faim ! (littéralement : mon ventre fait pekopeko !) 

ぺこぺこだから、早く食べたい。	
Puisque j'ai faim, je veux manger rapidement.  Exporter vers Sheets 
"
Gitaigo;Sourire;ニコニコ;Niko-niko;"ニコニコ (Nikoniko) exprime l'apparence ou l'état d'une personne qui sourit de manière chaleureuse, aimable et constante. C'est un sourire qui reflète le bonheur, la bonne humeur ou la bienveillance. 

Signification : Sourire gaiement, Rayonnant, Avoir un air aimable, Tout sourire.  
Contexte : On l'utilise généralement avec le verbe する (suru, faire/être) pour former ニコニコする (sourire de bon cœur) ou l'adverbe ニコニコと (nikoniko to, avec un sourire).";"おいしいごはんを食べて、ニコニコだった。
J'ai mangé un délicieux repas et j'étais tout sourire.

山田さんはいつもニコニコしています。
M. Yamada est toujours souriant (d'un air aimable)."
Gitaigo;Être silencieux;シイーン;Shiīn;"Signification : Silence de mort, Silence absolu, Un blanc. 

Contexte :  
Silence réel : Utilisé pour décrire un endroit où il n'y a absolument aucun bruit.  
Silence social (Le plus fréquent) : Très couramment utilisé dans les mangas, les films ou les conversations pour souligner un silence gênant après une blague ratée, une remarque maladroite, ou une révélation inattendue.";"真夜中、辺りはシーンと静まり返っていた。
Au milieu de la nuit, les environs étaient plongés dans un silence absolu.

彼のジョークには誰も笑わず、教室はシーンとなった。 
Personne n'a ri à sa blague, et la classe est tombée dans un silence gênant.

その知らせを聞いて、会場全体がシーンとした。 
 En entendant cette nouvelle, toute la salle est restée figée dans le silence.
"
Gitaigo;Scintiller;ピカピカ;Pika-pika;"ピカピカ (Pikapika) a deux significations clés qui se rejoignent dans l'idée de l'éclat :  

Propreté/Éclat : Il décrit l'état d'une surface qui a été polie ou nettoyée à un point où elle brille ou scintille (comme une voiture neuve ou un plancher fraîchement ciré).  
Neuf/Immaculé : Il est souvent utilisé pour décrire quelque chose qui est neuf ou dans un état impeccable, comme si cela brillait d'originalité. (Par exemple, un ""élève de première année tout neuf"" pikapika no ichinensei).  
Signification : Éclatant, Brillant, Propre et lustré, Neuf, Scintillant.  
Contexte : On l'utilise généralement avec le verbe する (suru, faire/être) pour former ピカピカする ou comme un adjectif pour décrire un objet (ピカピカの).";"床をピカピカに磨いた。
 J'ai poli le plancher jusqu'à ce qu'il soit brillant.   

ピカピカの新車を買った。 
J'ai acheté une voiture flambant neuve (éclatante).

ピカピカの一年生。
 Un élève de première année tout neuf (un petit nouveau).
"
Gitaigo;Regarder intensément;ジロジロ;Jiro-jiro;"ジロジロ (Jirojiro) représente l'acte de fixer du regard, souvent d'une manière qui met l'autre personne mal à l'aise ou qui manque de discrétion. L'idée est de regarder attentivement, de haut en bas ou de manière prolongée, comme si l'on analysait ou jugeait.  

Signification : Regarder fixement, Dévisager, Lorgner, Regarder de manière insistante/impolie.  
Contexte : On l'utilise toujours avec le verbe 見る (miru, regarder) pour former ジロジロ見る (dévisager).";"私の服をジロジロ見ないでください。 
S'il vous plaît, ne dévisagez pas mes vêtements (ne les regardez pas de manière insistante).

彼は初対面の人をジロジロ見る癖がある。
Il a l'habitude de dévisager les gens qu'il rencontre pour la première fois.

通りがかりの人々にジロジロ見られて、居心地が悪かった。
Je me sentais mal à l'aise d'être fixé du regard par les passants.
"
Gitaigo;Être prostré;グズグズ;Guzu-guzu;"Signification de グズグズ (Guzuguzu) グズグズ (Guzuguzu) peut décrire :  

La Lenteur et la Procrastination (Le plus commun) Il exprime l'action de traîner, d'hésiter ou de remettre à plus tard ce qui doit être fait. C'est l'attitude d'une personne lente et indécise.  

Signification : Hésiter, Traîner, Perdre son temps, Lentement, Paresseusement.  
Exemple : グズグズしないで (Guzuguzu shinai de - Ne traîne pas !)
";"Hésitation / Lenteur	

グズグズしていたら遅刻するよ。
Si tu traînes, tu vas être en retard. 

Plaintes / Pleurnicherie	

彼はいつもグズグズと文句を言う。
Il se plaint toujours en gémissant doucement. 

Nez qui coule	

花粉症でグズグズが止まらない
À cause du rhume des foins, mon nez qui coule (le reniflement) ne s'arrête pas."
Gitaigo;Jeter un coup d'œil à la dérobée;チラ;Chira;"Signification de チラ (Chira) 

チラ (Chira) exprime l'idée de quelque chose qui se produit rapidement, momentanément ou de manière intermittente.  
Signification : Furtivement, Un instant, Bref aperçu, Clignement (léger).  
Contexte : On l'utilise généralement sous différentes formes (チラッと, チラリ, チラチラ) selon ce que l'on veut décrire :";"Regard Furtif	

彼女は私にチラッと目をやった。	
Elle m'a jeté un coup d'œil furtif. 

Aperçu Rapide	

答えをチラッと見ただけだ。
J'ai juste aperçu la réponse (brièvement). 

Lumière/Mouvement	

星がチラチラ光っている
Les étoiles scintillent (faiblement) / La lumière clignote.
"
Gitaigo;Se brosser les dents;ゴシゴシ、 チャカチャカ;Goshi-goshi, Chaka-chaka;"ゴシゴシ (Goshigoshi) 

ゴシゴシ (Goshigoshi) est une onomatopée japonaise (giongo) qui représente le son et l'action de frotter ou brosser vigoureusement.  
Signification : Vigoureusement, En frottant durement, En brossant de force.  
Contexte : On l'utilise le plus souvent pour décrire l'action de nettoyer quelque chose en appliquant une force considérable.";"たわしで鍋をゴシゴシと洗う。	
Je frotte la casserole vigoureusement avec une brosse. 

目をゴシゴシ擦りすぎないで
Ne te frotte pas trop les yeux (fortement). 

床をゴシゴシ磨いてきれいにした。
J'ai frotté le sol fort pour le rendre propre.
"
Gitaigo;Pleurnicher;メソメソ;Meso-meso;" メソメソ (Mesomeso) est une onomatopée japonaise (gitaigo) qui décrit l'action de pleurer doucement et de façon persistante, souvent en geignant ou en gémissant.  

Signification de メソメソ (Mesomeso) 
メソメソ (Mesomeso) se concentre sur l'attitude d'une personne qui pleure de manière faible, plaintive, et indécise, plutôt que le bruit fort des sanglots. 
Il est souvent utilisé pour désigner une personne qui se lamente, pleurniche ou reste misérablement attachée à sa peine. 

 Signification : Pleurnicher, Geindre, Gémir doucement, Se lamenter de façon misérable.  
Connotation : L'expression est souvent utilisée de manière négative ou pour exhorter quelqu'un à se ressaisir.";"いつまでメソメソしてるんだ。	
Combien de temps vas-tu encore pleurnicher ? (Un appel à se ressaisir.) 

彼は部屋の隅でメソメソと泣いていた。	
Il pleurait doucement (en geignant) dans le coin de la pièce. 

メソメソしないで、もっと元気を出しなさい。	
Arrête de te lamenter et reprends courage.
"
